hist_axis_1(axisratio),hist_axis_2(fullness)
0.100016263,0.046969495
0.119276628,0.053322857
0.138536993,0.059676218
0.157797358,0.066029579
0.177057723,0.07238294
0.196318089,0.078736301
0.215578454,0.085089662
0.234838819,0.091443023
0.254099184,0.097796385
0.273359549,0.104149746
0.292619915,0.110503107
0.31188028,0.116856468
0.331140645,0.123209829
0.35040101,0.12956319
0.369661375,0.135916551
0.38892174,0.142269913
0.408182106,0.148623274
0.427442471,0.154976635
0.446702836,0.161329996
0.465963201,0.167683357
0.485223566,0.174036718
0.504483931,0.180390079
0.523744297,0.186743441
0.543004662,0.193096802
0.562265027,0.199450163
0.581525392,0.205803524
0.600785757,0.212156885
0.620046122,0.218510246
0.639306488,0.224863607
0.658566853,0.231216968
0.677827218,0.23757033
0.697087583,0.243923691
0.716347948,0.250277052
0.735608313,0.256630413
0.754868679,0.262983774
0.774129044,0.269337135
0.793389409,0.275690496
0.812649774,0.282043858
0.831910139,0.288397219
0.851170504,0.29475058
0.87043087,0.301103941
0.889691235,0.307457302
0.9089516,0.313810663
0.928211965,0.320164024
0.94747233,0.326517386
0.966732695,0.332870747
0.985993061,0.339224108
1.005253426,0.345577469
1.024513791,0.35193083
1.043774156,0.358284191
1.063034521,0.364637552
1.082294886,0.370990914
1.101555252,0.377344275
1.120815617,0.383697636
1.140075982,0.390050997
1.159336347,0.396404358
1.178596712,0.402757719
1.197857077,0.40911108
1.217117443,0.415464442
1.236377808,0.421817803
1.255638173,0.428171164
1.274898538,0.434524525
1.294158903,0.440877886
1.313419268,0.447231247
1.332679634,0.453584608
1.351939999,0.45993797
1.371200364,0.466291331
1.390460729,0.472644692
1.409721094,0.478998053
1.42898146,0.485351414
1.448241825,0.491704775
1.46750219,0.498058136
1.486762555,0.504411498
1.50602292,0.510764859
1.525283285,0.51711822
1.544543651,0.523471581
1.563804016,0.529824942
1.583064381,0.536178303
1.602324746,0.542531664
1.621585111,0.548885026
1.640845476,0.555238387
1.660105842,0.561591748
1.679366207,0.567945109
1.698626572,0.57429847
1.717886937,0.580651831
1.737147302,0.587005192
1.756407667,0.593358554
1.775668033,0.599711915
1.794928398,0.606065276
1.814188763,0.612418637
1.833449128,0.618771998
1.852709493,0.625125359
1.871969858,0.63147872
1.891230224,0.637832081
1.910490589,0.644185443
1.929750954,0.650538804
1.949011319,0.656892165
1.968271684,0.663245526
1.987532049,0.669598887
2.006792415,0.675952248
2.02605278,0.682305609
2.045313145,0.688658971
2.06457351,0.695012332
2.083833875,0.701365693
2.10309424,0.707719054
2.122354606,0.714072415
2.141614971,0.720425776
2.160875336,0.726779137
2.180135701,0.733132499
2.199396066,0.73948586
2.218656431,0.745839221
2.237916797,0.752192582
2.257177162,0.758545943
2.276437527,0.764899304
2.295697892,0.771252665
2.314958257,0.777606027
2.334218622,0.783959388
2.353478988,0.790312749
2.372739353,0.79666611
2.391999718,0.803019471
2.411260083,0.809372832
2.430520448,0.815726193
2.449780814,0.822079555
2.469041179,0.828432916
2.488301544,0.834786277
2.507561909,0.841139638
2.526822274,0.847492999
2.546082639,0.85384636
2.565343005,0.860199721
2.58460337,0.866553083
2.603863735,0.872906444
2.6231241,0.879259805
2.642384465,0.885613166
2.66164483,0.891966527
2.680905196,0.898319888
2.700165561,0.904673249
2.719425926,0.911026611
2.738686291,0.917379972
2.757946656,0.923733333
2.777207021,0.930086694
2.796467387,0.936440055
2.815727752,0.942793416
2.834988117,0.949146777
2.854248482,0.955500139
2.873508847,0.9618535
2.892769212,0.968206861
2.912029578,0.974560222
2.931289943,0.980913583
2.950550308,0.987266944
2.969810673,0.993620305
2.989071038,0.999973667
